country_name,urban_population,gross_domestic_product,net_migration,urbanization_rate,migration_trend
Morocco,24558760.0,144417103249.64584,-39650.0,65.121,Net Outflux
Ecuador,11649655.0,118844826000.0,-21948.0,64.792,Net Outflux
Albania,1773980.0,23547179830.44126,-25357.0,64.60299,Net Outflux
China,910895447.0,17794783039551.957,-567724.0,64.57,Net Outflux
"Gambia, The",1739355.0,2396111021.64149,-3000.0,64.47201,Net Outflux
Ireland,3421597.0,551394889339.7783,43873.0,64.46599,Net Influx
Armenia,1906370.0,24085749592.33592,75000.0,63.73901,Net Influx
Paraguay,4322010.0,42956263543.94817,-12500.0,63.149,Net Outflux
Georgia,2256301.0,30777833585.44409,2003.0,60.72699,Net Influx
Poland,22092390.0,809200697797.0884,-7824.0,60.218,Net Outflux
Honduras,6409478.0,34400509852.04365,-5044.0,60.212,Net Outflux
Nicaragua,4083864.0,17829218219.35911,-7996.0,59.849,Net Outflux
Haiti,6942406.0,19850829757.54185,-31786.0,59.656,Net Outflux
Austria,5436137.0,511685203845.0012,4819.0,59.53,Net Influx
North Macedonia,1087167.0,15763621848.115,-5597.0,59.47902,Net Outflux
Cameroon,16829259.0,49279410982.82597,-4798.0,59.315,Net Outflux
Ghana,20015284.0,76370396722.15402,-10003.0,59.238,Net Outflux
Seychelles,70450.0,2141450171.13932,1809.0,58.8196,Net Influx
Fiji,542593.0,5442046565.04719,-3289.0,58.71297,Net Outflux
Croatia,2260811.0,84393795502.44211,10202.0,58.575,Net Influx
Indonesia,164698646.0,1371171152331.155,-37501.0,58.572,Net Outflux
Kazakhstan,11827851.0,262641892078.5242,-4822.0,58.179,Net Outflux
Kiribati,76552.0,279208903.33764,-485.0,57.76202,Net Outflux
Mauritania,2897898.0,10651709411.45943,2999.0,57.699,Net Influx
Azerbaijan,5846344.0,72356176470.58824,-84122.0,57.577,Net Outflux
Jamaica,1629412.0,19423355409.23157,-10003.0,57.37799,Net Outflux
Serbia,3782699.0,81342660752.3732,4348.0,57.11301,Net Influx
Syrian Arab Republic,12751551.0,23622827079.50465,735142.0,56.769,Net Influx
Slovenia,1189324.0,69148468417.32083,5339.0,56.08799,Net Influx
Namibia,1626324.0,12351025066.91312,11675.0,54.88599,Net Influx
Romania,10420198.0,350775856415.1892,-27780.0,54.672,Net Outflux
Nigeria,123701699.0,363846332834.6184,-57936.0,54.283,Net Outflux
Slovak Republic,2931905.0,132908336234.29453,4933.0,54.027,Net Influx
Turkmenistan,3977017.0,60628857142.85714,15005.0,54.00299,Net Influx
Thailand,38438241.0,514968699239.0048,19648.0,53.608,Net Influx
Liberia,2942452.0,4240000000.0,-5002.0,53.567,Net Outflux
Trinidad and Tobago,730784.0,27372285697.94773,2126.0,53.43902,Net Influx
Cote d'Ivoire,16564233.0,78875489245.05385,6002.0,53.149,Net Influx
Guatemala,9623926.0,104450210572.01224,-8940.0,53.098,Net Outflux
Uzbekistan,18015824.0,101591769702.34315,-6004.0,50.532,Net Outflux
Bosnia and Herzegovina,1601104.0,27514782476.04056,-485.0,50.26899,Net Outflux
Benin,7069628.0,19676049075.70109,-192.0,50.1,Net Outflux
Senegal,8962680.0,30848333083.70555,-9999.0,49.579,Net Outflux
Philippines,55477513.0,437146372729.9424,-164284.0,48.287,Net Outflux
"Congo, Dem. Rep.",50190880.0,66383287002.98666,-14992.0,47.444,Net Outflux
Belize,191608.0,3066850000.0,595.0,46.60793,Net Influx
Zambia,9602449.0,27577956471.24399,9521.0,46.335,Net Influx
Mali,10978722.0,20661794596.08726,-39953.0,46.189,Net Outflux
Guinea-Bissau,979037.0,2048348108.35852,-1400.0,45.46599,Net Outflux
Togo,4139500.0,9171261837.57103,-1997.0,44.49001,Net Outflux
Sierra Leone,3748007.0,6411869546.28929,-4000.0,44.3,Net Outflux
Bhutan,341150.0,2898227743.13545,291.0,43.68599,Net Influx
Central African Republic,2247177.0,2555492085.24831,-14682.0,43.614,Net Outflux
Moldova,1066014.0,16539436547.29497,-18570.0,43.37299,Net Outflux
"Egypt, Arab Rep.",49364918.0,396002496996.95966,305006.0,43.1,Net Influx
Maldives,220765.0,6590894301.9579,-2877.0,41.97101,Net Outflux
Mauritius,515350.0,14644524819.00536,-2824.0,40.86703,Net Outflux
Madagascar,12651822.0,15790113246.74778,-1487.0,40.556,Net Outflux
Bangladesh,69397835.0,437415331040.9943,-549918.0,40.473,Net Outflux
Viet Nam,39619045.0,429716969043.57166,-81789.0,39.48,Net Outflux
Mozambique,13034634.0,20954220983.54733,-36276.0,38.753,Net Outflux
Lao PDR,2931630.0,15843155731.25518,-10003.0,38.247,Net Outflux
Guinea,5486322.0,22199409741.25781,-3997.0,38.085,Net Outflux
Pakistan,94150710.0,337912301397.7272,-1619557.0,38.04,Net Outflux
Kyrgyz Republic,2683776.0,13987627908.83814,5601.0,37.80099,Net Influx
Tanzania,24920980.0,79062403820.89198,-39388.0,37.409,Net Outflux
Grenada,43389.0,1316733333.33333,-190.0,37.05896,Net Outflux
"Yemen, Rep.",12489492.0,21606160783.98445,-26335.0,36.642,Net Outflux
India,522939628.0,3567551674623.007,-979179.0,36.364,Net Outflux
Sudan,18186551.0,109265503110.9039,-1349998.0,36.342,Net Outflux
Burkina Faso,7487982.0,20324617844.52653,-24957.0,32.52,Net Outflux
Zimbabwe,5313545.0,35231367885.85537,-97380.0,32.517,Net Outflux
Timor-Leste,449284.0,2079916900.0,-5620.0,32.45601,Net Outflux
Myanmar,17383445.0,66757619000.0,-34989.0,32.112,Net Outflux
Lesotho,703034.0,2117962450.79469,-5168.0,30.41499,Net Outflux
Comoros,256239.0,1352380971.24055,-2002.0,30.13205,Net Outflux
Kenya,16336074.0,108038588970.59505,-10003.0,29.52,Net Outflux
Tajikistan,2933456.0,12060602008.84778,-19999.0,28.234,Net Outflux
Guyana,224454.0,17159509565.46763,-6161.0,27.162,Net Outflux
Uganda,13025859.0,48768955863.31749,-126181.0,26.771,Net Outflux
Solomon Islands,208297.0,1633319401.19414,1636.0,26.03696,Net Influx
Vanuatu,83229.0,1126313359.21923,0.0,25.97586,Stable Migration
Eswatini,305042.0,4442875788.08505,-8549.0,24.78996,Net Outflux
Chad,4707283.0,13149325362.33467,496830.0,24.366,Net Influx
"Micronesia, Fed. Sts.",26332.0,460000000.0,-1134.0,23.37921,Net Outflux
Ethiopia,29801135.0,163697927593.98236,-11996.0,23.157,Net Outflux
Tonga,24291.0,518180042.24151,-2218.0,23.12504,Net Outflux
Nepal,6504011.0,40908073366.84552,-409782.0,21.903,Net Outflux
Sri Lanka,4233528.0,84356863743.63354,-28011.0,19.211,Net Outflux
St. Lucia,34373.0,2430148148.14815,0.0,19.17227,Stable Migration
South Sudan,2093997.0,11997800760.22418,-159822.0,18.852,Net Outflux
Malawi,3857899.0,12712150082.07921,-5811.0,18.28,Net Outflux
Rwanda,2496734.0,14097768472.18828,-9001.0,17.892,Net Outflux
Samoa,37933.0,938189443.83039,-2810.0,17.50783,Net Outflux
Niger,4461304.0,16819170420.56532,995.0,17.054,Net Influx
Burundi,2023848.0,2642161668.85211,1995.0,14.784,Net Influx
Papua New Guinea,1425770.0,30729242919.44108,-787.0,13.723,Net Outflux
